inst#,    actual, predicted, error, probability distribution
 12963          ?        2:1      +   0.118 *0.882
 12964          ?        2:1      +   0.193 *0.807
 12965          ?        2:1      +   0.118 *0.882
 12966          ?        2:1      +   0.193 *0.807
 12967          ?        1:0      +  *1      0    
 12968          ?        1:0      +  *1      0    
 12969          ?        1:0      +  *1      0    
 12970          ?        2:1      +   0.118 *0.882
 12971          ?        2:1      +   0.118 *0.882
 12972          ?        2:1      +   0.193 *0.807
 12973          ?        2:1      +   0.193 *0.807
 12974          ?        1:0      +  *1      0    
 12975          ?        2:1      +   0.193 *0.807
 12976          ?        2:1      +   0.193 *0.807
 12977          ?        2:1      +   0.118 *0.882
 12978          ?        1:0      +  *0.999  0.001
 12979          ?        2:1      +   0.118 *0.882
 12980          ?        1:0      +  *0.999  0.001
 12981          ?        1:0      +  *0.999  0.001
 12982          ?        2:1      +   0.193 *0.807
 12983          ?        2:1      +   0.118 *0.882
 12984          ?        2:1      +   0.118 *0.882
 12985          ?        2:1      +   0.193 *0.807
 12986          ?        1:0      +  *0.999  0.001
 12987          ?        2:1      +   0.193 *0.807
 12988          ?        2:1      +   0.193 *0.807
 12989          ?        2:1      +   0.193 *0.807
 12990          ?        1:0      +  *0.999  0.001
 12991          ?        2:1      +   0.193 *0.807
 12992          ?        2:1      +   0.118 *0.882
 12993          ?        2:1      +   0.193 *0.807
 12994          ?        2:1      +   0.118 *0.882
 12995          ?        2:1      +   0.193 *0.807
 12996          ?        1:0      +  *0.999  0.001
 12997          ?        2:1      +   0.193 *0.807
 12998          ?        2:1      +   0.118 *0.882
 12999          ?        2:1      +   0.193 *0.807
 13000          ?        1:0      +  *0.999  0.001
 13001          ?        1:0      +  *0.999  0.001
 13002          ?        2:1      +   0.193 *0.807
 13003          ?        2:1      +   0.193 *0.807
 13004          ?        2:1      +   0.118 *0.882
 13005          ?        2:1      +   0.118 *0.882
 13006          ?        2:1      +   0.118 *0.882
 13007          ?        2:1      +   0.118 *0.882
 13008          ?        1:0      +  *0.999  0.001
 13009          ?        2:1      +   0.118 *0.882
 13010          ?        2:1      +   0.193 *0.807
 13011          ?        2:1      +   0.118 *0.882
 13012          ?        2:1      +   0.193 *0.807
 13013          ?        2:1      +   0.118 *0.882
 13014          ?        1:0      +  *0.999  0.001
 13015          ?        2:1      +   0.193 *0.807
 13016          ?        1:0      +  *0.955  0.045
 13017          ?        1:0      +  *0.999  0.001
 13018          ?        2:1      +   0.193 *0.807
 13019          ?        1:0      +  *0.955  0.045
 13020          ?        1:0      +  *0.999  0.001
 13021          ?        2:1      +   0.193 *0.807
 13022          ?        1:0      +  *1      0    
 13023          ?        2:1      +   0.193 *0.807
 13024          ?        1:0      +  *0.955  0.045
 13025          ?        1:0      +  *0.999  0.001
 13026          ?        1:0      +  *1      0    
 13027          ?        2:1      +   0.193 *0.807
 13028          ?        2:1      +   0.118 *0.882
 13029          ?        1:0      +  *0.999  0.001
 13030          ?        2:1      +   0.193 *0.807
 13031          ?        2:1      +   0.193 *0.807
 13032          ?        1:0      +  *0.999  0.001
 13033          ?        1:0      +  *0.999  0.001
 13034          ?        1:0      +  *0.999  0.001
 13035          ?        2:1      +   0.193 *0.807
 13036          ?        1:0      +  *0.999  0.001
 13037          ?        2:1      +   0.193 *0.807
 13038          ?        2:1      +   0.193 *0.807
 13039          ?        2:1      +   0.193 *0.807
 13040          ?        2:1      +   0.118 *0.882
 13041          ?        2:1      +   0.193 *0.807
 13042          ?        2:1      +   0.118 *0.882
 13043          ?        1:0      +  *0.999  0.001
 13044          ?        1:0      +  *0.999  0.001
 13045          ?        1:0      +  *0.999  0.001
 13046          ?        2:1      +   0.118 *0.882
 13047          ?        2:1      +   0.118 *0.882
 13048          ?        2:1      +   0.193 *0.807
 13049          ?        1:0      +  *1      0    
 13050          ?        1:0      +  *0.999  0.001
 13051          ?        2:1      +   0.118 *0.882
 13052          ?        2:1      +   0.193 *0.807
 13053          ?        2:1      +   0.118 *0.882
 13054          ?        1:0      +  *0.999  0.001
 13055          ?        1:0      +  *0.999  0.001
 13056          ?        2:1      +   0.193 *0.807
 13057          ?        1:0      +  *0.955  0.045
 13058          ?        1:0      +  *1      0    
 13059          ?        2:1      +   0.118 *0.882
 13060          ?        2:1      +   0.118 *0.882
 13061          ?        1:0      +  *1      0    
 13062          ?        2:1      +   0.118 *0.882
 13063          ?        1:0      +  *1      0    
 13064          ?        2:1      +   0.193 *0.807
 13065          ?        1:0      +  *0.999  0.001
 13066          ?        1:0      +  *0.999  0.001
 13067          ?        1:0      +  *0.999  0.001
 13068          ?        2:1      +   0.118 *0.882
 13069          ?        1:0      +  *0.999  0.001
 13070          ?        2:1      +   0.118 *0.882
 13071          ?        1:0      +  *1      0    
 13072          ?        1:0      +  *1      0    
 13073          ?        2:1      +   0.118 *0.882
 13074          ?        1:0      +  *1      0    
 13075          ?        2:1      +   0.193 *0.807
 13076          ?        2:1      +   0.193 *0.807
 13077          ?        2:1      +   0.193 *0.807
 13078          ?        2:1      +   0.118 *0.882
 13079          ?        1:0      +  *0.999  0.001
 13080          ?        1:0      +  *0.999  0.001
 13081          ?        1:0      +  *0.999  0.001
 13082          ?        2:1      +   0.118 *0.882
 13083          ?        1:0      +  *0.999  0.001
 13084          ?        2:1      +   0.193 *0.807
 13085          ?        1:0      +  *0.999  0.001
 13086          ?        2:1      +   0.193 *0.807
 13087          ?        2:1      +   0.193 *0.807
 13088          ?        2:1      +   0.118 *0.882
 13089          ?        2:1      +   0.193 *0.807
 13090          ?        2:1      +   0.193 *0.807
 13091          ?        2:1      +   0.193 *0.807
 13092          ?        2:1      +   0.193 *0.807
 13093          ?        2:1      +   0.193 *0.807
 13094          ?        2:1      +   0.193 *0.807
 13095          ?        2:1      +   0.193 *0.807
 13096          ?        2:1      +   0.193 *0.807
 13097          ?        1:0      +  *0.999  0.001
 13098          ?        1:0      +  *0.999  0.001
 13099          ?        2:1      +   0.118 *0.882
 13100          ?        1:0      +  *0.999  0.001
 13101          ?        2:1      +   0.118 *0.882
 13102          ?        1:0      +  *0.999  0.001
 13103          ?        1:0      +  *0.955  0.045
 13104          ?        1:0      +  *0.999  0.001
 13105          ?        1:0      +  *0.999  0.001
 13106          ?        1:0      +  *0.999  0.001
 13107          ?        2:1      +   0.118 *0.882
 13108          ?        2:1      +   0.118 *0.882
 13109          ?        1:0      +  *1      0    
 13110          ?        2:1      +   0.118 *0.882
 13111          ?        2:1      +   0.118 *0.882
 13112          ?        2:1      +   0.193 *0.807
 13113          ?        1:0      +  *0.999  0.001
 13114          ?        2:1      +   0.193 *0.807
 13115          ?        1:0      +  *0.999  0.001
 13116          ?        1:0      +  *1      0    
 13117          ?        1:0      +  *1      0    
 13118          ?        2:1      +   0.193 *0.807
 13119          ?        2:1      +   0.193 *0.807
 13120          ?        2:1      +   0.193 *0.807
 13121          ?        2:1      +   0.193 *0.807
 13122          ?        1:0      +  *0.999  0.001
 13123          ?        2:1      +   0.118 *0.882
 13124          ?        2:1      +   0.193 *0.807
 13125          ?        2:1      +   0.118 *0.882
 13126          ?        1:0      +  *1      0    
 13127          ?        1:0      +  *0.999  0.001
 13128          ?        2:1      +   0.193 *0.807
 13129          ?        2:1      +   0.118 *0.882
 13130          ?        1:0      +  *0.999  0.001
 13131          ?        1:0      +  *1      0    
 13132          ?        2:1      +   0.193 *0.807
 13133          ?        2:1      +   0.118 *0.882
 13134          ?        2:1      +   0.193 *0.807
 13135          ?        1:0      +  *0.999  0.001
 13136          ?        1:0      +  *0.999  0.001
 13137          ?        1:0      +  *0.999  0.001
 13138          ?        2:1      +   0.118 *0.882
 13139          ?        2:1      +   0.118 *0.882
 13140          ?        2:1      +   0.193 *0.807
 13141          ?        1:0      +  *0.999  0.001
 13142          ?        1:0      +  *0.923  0.077
 13143          ?        1:0      +  *0.999  0.001
 13144          ?        1:0      +  *0.999  0.001
 13145          ?        2:1      +   0.193 *0.807
 13146          ?        1:0      +  *1      0    
 13147          ?        2:1      +   0.193 *0.807
 13148          ?        1:0      +  *0.999  0.001
 13149          ?        2:1      +   0.118 *0.882
 13150          ?        1:0      +  *0.999  0.001
 13151          ?        1:0      +  *0.999  0.001
 13152          ?        1:0      +  *1      0    
 13153          ?        1:0      +  *0.999  0.001
 13154          ?        1:0      +  *0.999  0.001
 13155          ?        1:0      +  *0.999  0.001
 13156          ?        2:1      +   0.193 *0.807
 13157          ?        1:0      +  *0.999  0.001
 13158          ?        1:0      +  *0.999  0.001
 13159          ?        1:0      +  *0.999  0.001
 13160          ?        1:0      +  *1      0    
 13161          ?        2:1      +   0.193 *0.807
 13162          ?        2:1      +   0.193 *0.807
 13163          ?        2:1      +   0.118 *0.882
 13164          ?        1:0      +  *0.999  0.001
 13165          ?        1:0      +  *0.999  0.001
 13166          ?        2:1      +   0.118 *0.882
 13167          ?        2:1      +   0.193 *0.807
 13168          ?        2:1      +   0.193 *0.807
 13169          ?        2:1      +   0.193 *0.807
 13170          ?        2:1      +   0.118 *0.882
 13171          ?        1:0      +  *0.999  0.001
 13172          ?        1:0      +  *0.999  0.001
 13173          ?        1:0      +  *0.999  0.001
 13174          ?        1:0      +  *0.999  0.001
 13175          ?        1:0      +  *0.999  0.001
 13176          ?        2:1      +   0.193 *0.807
 13177          ?        2:1      +   0.193 *0.807
 13178          ?        1:0      +  *0.999  0.001
 13179          ?        2:1      +   0.193 *0.807
 13180          ?        1:0      +  *0.999  0.001
 13181          ?        2:1      +   0.193 *0.807
 13182          ?        2:1      +   0.118 *0.882
 13183          ?        1:0      +  *0.999  0.001
 13184          ?        2:1      +   0.193 *0.807
 13185          ?        1:0      +  *0.923  0.077
 13186          ?        2:1      +   0.118 *0.882
 13187          ?        2:1      +   0.193 *0.807
 13188          ?        2:1      +   0.193 *0.807
 13189          ?        2:1      +   0.193 *0.807
 13190          ?        2:1      +   0.193 *0.807
 13191          ?        2:1      +   0.193 *0.807
 13192          ?        1:0      +  *0.955  0.045
 13193          ?        2:1      +   0.193 *0.807
 13194          ?        2:1      +   0.193 *0.807
 13195          ?        2:1      +   0.118 *0.882
 13196          ?        2:1      +   0.118 *0.882
 13197          ?        2:1      +   0.118 *0.882
 13198          ?        2:1      +   0.193 *0.807
 13199          ?        1:0      +  *1      0    
 13200          ?        1:0      +  *0.999  0.001
 13201          ?        2:1      +   0.118 *0.882
 13202          ?        2:1      +   0.118 *0.882
 13203          ?        1:0      +  *1      0    
 13204          ?        2:1      +   0.118 *0.882
 13205          ?        2:1      +   0.118 *0.882
 13206          ?        1:0      +  *1      0    
 13207          ?        1:0      +  *0.999  0.001
 13208          ?        1:0      +  *0.999  0.001
 13209          ?        1:0      +  *0.999  0.001
 13210          ?        1:0      +  *0.999  0.001
 13211          ?        2:1      +   0.118 *0.882
 13212          ?        2:1      +   0.193 *0.807
 13213          ?        2:1      +   0.118 *0.882
 13214          ?        2:1      +   0.193 *0.807
 13215          ?        2:1      +   0.118 *0.882
 13216          ?        2:1      +   0.118 *0.882
 13217          ?        2:1      +   0.118 *0.882
 13218          ?        1:0      +  *0.999  0.001
 13219          ?        1:0      +  *1      0    
 13220          ?        2:1      +   0.193 *0.807
 13221          ?        2:1      +   0.193 *0.807
 13222          ?        1:0      +  *1      0    
 13223          ?        2:1      +   0.118 *0.882
 13224          ?        1:0      +  *0.999  0.001
 13225          ?        2:1      +   0.193 *0.807
 13226          ?        1:0      +  *1      0    
 13227          ?        2:1      +   0.193 *0.807
 13228          ?        2:1      +   0.118 *0.882
 13229          ?        2:1      +   0.118 *0.882
 13230          ?        1:0      +  *0.999  0.001
 13231          ?        2:1      +   0.118 *0.882
 13232          ?        2:1      +   0.193 *0.807
 13233          ?        2:1      +   0.193 *0.807
 13234          ?        1:0      +  *0.999  0.001
 13235          ?        1:0      +  *0.999  0.001
 13236          ?        2:1      +   0.118 *0.882
 13237          ?        2:1      +   0.193 *0.807
 13238          ?        2:1      +   0.118 *0.882
 13239          ?        1:0      +  *0.999  0.001
 13240          ?        2:1      +   0.193 *0.807
 13241          ?        1:0      +  *0.999  0.001
 13242          ?        2:1      +   0.193 *0.807
 13243          ?        1:0      +  *0.999  0.001
 13244          ?        2:1      +   0.193 *0.807
 13245          ?        1:0      +  *0.999  0.001
 13246          ?        1:0      +  *0.999  0.001
 13247          ?        2:1      +   0.118 *0.882
 13248          ?        2:1      +   0.118 *0.882
 13249          ?        2:1      +   0.118 *0.882
 13250          ?        2:1      +   0.193 *0.807
 13251          ?        1:0      +  *1      0    
 13252          ?        2:1      +   0.118 *0.882
 13253          ?        2:1      +   0.193 *0.807
 13254          ?        1:0      +  *0.955  0.045
 13255          ?        1:0      +  *0.923  0.077
 13256          ?        2:1      +   0.193 *0.807
 13257          ?        1:0      +  *0.999  0.001
 13258          ?        2:1      +   0.193 *0.807
 13259          ?        2:1      +   0.193 *0.807
 13260          ?        2:1      +   0.193 *0.807
 13261          ?        2:1      +   0.118 *0.882
 13262          ?        2:1      +   0.118 *0.882
 13263          ?        2:1      +   0.193 *0.807
 13264          ?        1:0      +  *0.999  0.001
 13265          ?        2:1      +   0.193 *0.807
 13266          ?        1:0      +  *0.999  0.001
 13267          ?        1:0      +  *0.999  0.001
 13268          ?        1:0      +  *0.999  0.001
 13269          ?        1:0      +  *0.999  0.001
 13270          ?        2:1      +   0.193 *0.807
 13271          ?        2:1      +   0.193 *0.807
 13272          ?        1:0      +  *0.999  0.001
 13273          ?        2:1      +   0.193 *0.807
 13274          ?        2:1      +   0.193 *0.807
 13275          ?        1:0      +  *0.999  0.001
 13276          ?        1:0      +  *0.999  0.001
 13277          ?        2:1      +   0.193 *0.807
 13278          ?        1:0      +  *0.999  0.001
 13279          ?        1:0      +  *0.955  0.045
 13280          ?        1:0      +  *0.999  0.001
 13281          ?        1:0      +  *0.999  0.001
 13282          ?        1:0      +  *1      0    
 13283          ?        1:0      +  *0.999  0.001
 13284          ?        2:1      +   0.193 *0.807
 13285          ?        1:0      +  *0.999  0.001
 13286          ?        1:0      +  *1      0    
 13287          ?        1:0      +  *1      0    
 13288          ?        1:0      +  *0.999  0.001
 13289          ?        2:1      +   0.193 *0.807
 13290          ?        2:1      +   0.193 *0.807
 13291          ?        1:0      +  *0.999  0.001
 13292          ?        1:0      +  *1      0    
 13293          ?        1:0      +  *0.999  0.001
 13294          ?        2:1      +   0.118 *0.882
 13295          ?        1:0      +  *1      0    
 13296          ?        2:1      +   0.118 *0.882
 13297          ?        2:1      +   0.118 *0.882
 13298          ?        2:1      +   0.118 *0.882
 13299          ?        2:1      +   0.193 *0.807
 13300          ?        2:1      +   0.193 *0.807
 13301          ?        1:0      +  *1      0    
 13302          ?        1:0      +  *0.999  0.001
 13303          ?        2:1      +   0.193 *0.807
 13304          ?        2:1      +   0.193 *0.807
 13305          ?        2:1      +   0.118 *0.882
 13306          ?        2:1      +   0.118 *0.882
 13307          ?        2:1      +   0.193 *0.807
 13308          ?        1:0      +  *0.923  0.077
 13309          ?        1:0      +  *0.955  0.045
 13310          ?        2:1      +   0.118 *0.882
 13311          ?        2:1      +   0.193 *0.807
 13312          ?        2:1      +   0.193 *0.807
 13313          ?        2:1      +   0.193 *0.807
 13314          ?        2:1      +   0.118 *0.882
 13315          ?        2:1      +   0.193 *0.807
 13316          ?        1:0      +  *0.999  0.001
 13317          ?        1:0      +  *0.999  0.001
 13318          ?        2:1      +   0.118 *0.882
 13319          ?        2:1      +   0.193 *0.807
 13320          ?        2:1      +   0.193 *0.807
 13321          ?        2:1      +   0.193 *0.807
 13322          ?        2:1      +   0.193 *0.807
 13323          ?        2:1      +   0.118 *0.882
 13324          ?        2:1      +   0.193 *0.807
 13325          ?        1:0      +  *0.999  0.001
 13326          ?        1:0      +  *0.999  0.001
 13327          ?        2:1      +   0.193 *0.807
 13328          ?        2:1      +   0.193 *0.807
 13329          ?        2:1      +   0.118 *0.882
 13330          ?        1:0      +  *0.999  0.001
 13331          ?        1:0      +  *0.999  0.001
 13332          ?        1:0      +  *0.999  0.001
 13333          ?        2:1      +   0.193 *0.807
 13334          ?        1:0      +  *0.999  0.001
 13335          ?        2:1      +   0.193 *0.807
 13336          ?        2:1      +   0.193 *0.807
 13337          ?        1:0      +  *1      0    
 13338          ?        1:0      +  *1      0    
 13339          ?        2:1      +   0.193 *0.807
 13340          ?        2:1      +   0.193 *0.807
 13341          ?        1:0      +  *0.999  0.001
 13342          ?        2:1      +   0.118 *0.882
 13343          ?        1:0      +  *0.999  0.001
 13344          ?        2:1      +   0.193 *0.807
 13345          ?        2:1      +   0.193 *0.807
 13346          ?        1:0      +  *0.999  0.001
 13347          ?        1:0      +  *0.999  0.001
 13348          ?        2:1      +   0.118 *0.882
 13349          ?        1:0      +  *0.999  0.001
 13350          ?        2:1      +   0.118 *0.882
 13351          ?        2:1      +   0.118 *0.882
 13352          ?        2:1      +   0.193 *0.807
 13353          ?        2:1      +   0.118 *0.882
 13354          ?        2:1      +   0.193 *0.807
 13355          ?        2:1      +   0.118 *0.882
 13356          ?        2:1      +   0.193 *0.807
 13357          ?        1:0      +  *0.999  0.001
 13358          ?        1:0      +  *0.999  0.001
 13359          ?        2:1      +   0.193 *0.807
 13360          ?        2:1      +   0.118 *0.882
 13361          ?        2:1      +   0.118 *0.882
 13362          ?        1:0      +  *1      0    
 13363          ?        1:0      +  *0.999  0.001
 13364          ?        1:0      +  *0.999  0.001
 13365          ?        2:1      +   0.193 *0.807
 13366          ?        1:0      +  *0.999  0.001
 13367          ?        2:1      +   0.193 *0.807
 13368          ?        1:0      +  *1      0    
 13369          ?        1:0      +  *0.955  0.045
 13370          ?        2:1      +   0.193 *0.807
 13371          ?        2:1      +   0.118 *0.882
 13372          ?        2:1      +   0.193 *0.807
 13373          ?        1:0      +  *0.999  0.001
 13374          ?        2:1      +   0.193 *0.807
 13375          ?        1:0      +  *0.999  0.001
 13376          ?        1:0      +  *0.999  0.001
 13377          ?        2:1      +   0.118 *0.882
 13378          ?        2:1      +   0.193 *0.807
 13379          ?        2:1      +   0.118 *0.882
 13380          ?        1:0      +  *0.999  0.001
 13381          ?        1:0      +  *0.999  0.001
 13382          ?        2:1      +   0.193 *0.807
 13383          ?        1:0      +  *1      0    
 13384          ?        1:0      +  *0.999  0.001
 13385          ?        2:1      +   0.118 *0.882
 13386          ?        2:1      +   0.193 *0.807
 13387          ?        2:1      +   0.193 *0.807
 13388          ?        2:1      +   0.193 *0.807
 13389          ?        1:0      +  *0.999  0.001
 13390          ?        2:1      +   0.193 *0.807
 13391          ?        1:0      +  *0.999  0.001
 13392          ?        2:1      +   0.193 *0.807
 13393          ?        2:1      +   0.193 *0.807
 13394          ?        1:0      +  *0.999  0.001
 13395          ?        1:0      +  *0.999  0.001
 13396          ?        2:1      +   0.193 *0.807
 13397          ?        2:1      +   0.193 *0.807
 13398          ?        2:1      +   0.118 *0.882
 13399          ?        2:1      +   0.193 *0.807
 13400          ?        2:1      +   0.193 *0.807
 13401          ?        2:1      +   0.193 *0.807
 13402          ?        2:1      +   0.118 *0.882
 13403          ?        1:0      +  *0.999  0.001
 13404          ?        1:0      +  *1      0    
 13405          ?        2:1      +   0.193 *0.807
 13406          ?        2:1      +   0.193 *0.807
 13407          ?        2:1      +   0.193 *0.807
 13408          ?        2:1      +   0.193 *0.807
 13409          ?        2:1      +   0.118 *0.882
 13410          ?        2:1      +   0.193 *0.807
 13411          ?        2:1      +   0.193 *0.807
 13412          ?        2:1      +   0.193 *0.807
 13413          ?        2:1      +   0.193 *0.807
 13414          ?        2:1      +   0.193 *0.807
 13415          ?        2:1      +   0.118 *0.882
 13416          ?        2:1      +   0.118 *0.882
 13417          ?        2:1      +   0.193 *0.807
 13418          ?        1:0      +  *0.999  0.001
 13419          ?        2:1      +   0.193 *0.807
 13420          ?        2:1      +   0.118 *0.882
 13421          ?        2:1      +   0.193 *0.807
 13422          ?        2:1      +   0.193 *0.807
 13423          ?        1:0      +  *0.999  0.001
 13424          ?        1:0      +  *0.999  0.001
 13425          ?        2:1      +   0.118 *0.882
 13426          ?        1:0      +  *0.999  0.001
 13427          ?        2:1      +   0.118 *0.882
 13428          ?        1:0      +  *0.999  0.001
 13429          ?        2:1      +   0.193 *0.807
 13430          ?        1:0      +  *1      0    
 13431          ?        2:1      +   0.193 *0.807
 13432          ?        1:0      +  *0.999  0.001
 13433          ?        1:0      +  *1      0    
 13434          ?        1:0      +  *0.999  0.001
 13435          ?        1:0      +  *0.999  0.001
 13436          ?        1:0      +  *1      0    
 13437          ?        2:1      +   0.193 *0.807
 13438          ?        2:1      +   0.193 *0.807
 13439          ?        2:1      +   0.193 *0.807
 13440          ?        1:0      +  *0.955  0.045
 13441          ?        2:1      +   0.193 *0.807
 13442          ?        2:1      +   0.193 *0.807
 13443          ?        1:0      +  *0.999  0.001
 13444          ?        2:1      +   0.193 *0.807
 13445          ?        1:0      +  *1      0    
 13446          ?        1:0      +  *0.999  0.001
 13447          ?        2:1      +   0.118 *0.882
 13448          ?        1:0      +  *0.999  0.001
 13449          ?        2:1      +   0.193 *0.807
 13450          ?        2:1      +   0.193 *0.807
 13451          ?        1:0      +  *0.999  0.001
 13452          ?        1:0      +  *0.955  0.045
 13453          ?        1:0      +  *1      0    
 13454          ?        1:0      +  *1      0    
 13455          ?        1:0      +  *0.999  0.001
 13456          ?        2:1      +   0.193 *0.807
 13457          ?        2:1      +   0.118 *0.882
 13458          ?        1:0      +  *1      0    
 13459          ?        1:0      +  *1      0    
 13460          ?        1:0      +  *0.923  0.077
 13461          ?        1:0      +  *0.999  0.001
 13462          ?        1:0      +  *0.999  0.001
 13463          ?        1:0      +  *0.999  0.001
 13464          ?        1:0      +  *0.999  0.001
 13465          ?        2:1      +   0.193 *0.807
 13466          ?        2:1      +   0.193 *0.807
 13467          ?        2:1      +   0.193 *0.807
 13468          ?        1:0      +  *0.999  0.001
 13469          ?        1:0      +  *0.999  0.001
 13470          ?        1:0      +  *0.999  0.001
 13471          ?        1:0      +  *0.999  0.001
 13472          ?        2:1      +   0.193 *0.807
 13473          ?        2:1      +   0.193 *0.807
 13474          ?        1:0      +  *0.999  0.001
 13475          ?        2:1      +   0.193 *0.807
 13476          ?        2:1      +   0.118 *0.882
 13477          ?        2:1      +   0.193 *0.807
 13478          ?        2:1      +   0.118 *0.882
 13479          ?        2:1      +   0.193 *0.807
 13480          ?        2:1      +   0.193 *0.807
 13481          ?        2:1      +   0.193 *0.807
 13482          ?        2:1      +   0.193 *0.807
 13483          ?        2:1      +   0.118 *0.882
 13484          ?        1:0      +  *0.999  0.001
 13485          ?        2:1      +   0.193 *0.807
 13486          ?        2:1      +   0.193 *0.807
 13487          ?        1:0      +  *0.999  0.001
 13488          ?        2:1      +   0.118 *0.882
 13489          ?        2:1      +   0.118 *0.882
 13490          ?        1:0      +  *0.999  0.001
 13491          ?        2:1      +   0.193 *0.807
 13492          ?        1:0      +  *0.999  0.001
 13493          ?        1:0      +  *0.999  0.001
 13494          ?        2:1      +   0.118 *0.882
 13495          ?        2:1      +   0.118 *0.882
 13496          ?        2:1      +   0.193 *0.807
 13497          ?        2:1      +   0.118 *0.882
 13498          ?        1:0      +  *0.955  0.045
 13499          ?        1:0      +  *0.999  0.001
 13500          ?        2:1      +   0.118 *0.882
 13501          ?        2:1      +   0.118 *0.882
 13502          ?        1:0      +  *1      0    
 13503          ?        2:1      +   0.118 *0.882
 13504          ?        2:1      +   0.193 *0.807
 13505          ?        2:1      +   0.118 *0.882
 13506          ?        1:0      +  *0.999  0.001
 13507          ?        2:1      +   0.193 *0.807
 13508          ?        1:0      +  *0.955  0.045
 13509          ?        2:1      +   0.193 *0.807
 13510          ?        2:1      +   0.118 *0.882
 13511          ?        1:0      +  *0.999  0.001
 13512          ?        1:0      +  *0.999  0.001
 13513          ?        2:1      +   0.118 *0.882
 13514          ?        2:1      +   0.118 *0.882
 13515          ?        1:0      +  *0.999  0.001
 13516          ?        2:1      +   0.118 *0.882
 13517          ?        1:0      +  *0.999  0.001
 13518          ?        1:0      +  *0.999  0.001
 13519          ?        1:0      +  *0.999  0.001
 13520          ?        2:1      +   0.118 *0.882
 13521          ?        1:0      +  *0.999  0.001
 13522          ?        1:0      +  *0.999  0.001
 13523          ?        1:0      +  *1      0    
 13524          ?        2:1      +   0.118 *0.882
 13525          ?        2:1      +   0.118 *0.882
 13526          ?        1:0      +  *0.955  0.045
 13527          ?        2:1      +   0.193 *0.807
 13528          ?        1:0      +  *0.999  0.001
 13529          ?        1:0      +  *0.955  0.045
 13530          ?        2:1      +   0.118 *0.882
 13531          ?        2:1      +   0.193 *0.807
 13532          ?        2:1      +   0.193 *0.807
 13533          ?        2:1      +   0.193 *0.807
 13534          ?        1:0      +  *1      0    
 13535          ?        2:1      +   0.193 *0.807
 13536          ?        1:0      +  *0.999  0.001
 13537          ?        1:0      +  *0.999  0.001
 13538          ?        2:1      +   0.193 *0.807
 13539          ?        2:1      +   0.118 *0.882
 13540          ?        1:0      +  *0.999  0.001
 13541          ?        2:1      +   0.193 *0.807
 13542          ?        1:0      +  *0.999  0.001
 13543          ?        2:1      +   0.193 *0.807
 13544          ?        2:1      +   0.118 *0.882
 13545          ?        2:1      +   0.118 *0.882
 13546          ?        2:1      +   0.193 *0.807
 13547          ?        1:0      +  *0.999  0.001
 13548          ?        2:1      +   0.118 *0.882
 13549          ?        2:1      +   0.118 *0.882
 13550          ?        2:1      +   0.118 *0.882
 13551          ?        2:1      +   0.193 *0.807
 13552          ?        1:0      +  *0.955  0.045
 13553          ?        1:0      +  *0.999  0.001
 13554          ?        1:0      +  *0.999  0.001
 13555          ?        2:1      +   0.193 *0.807
 13556          ?        2:1      +   0.193 *0.807
 13557          ?        2:1      +   0.193 *0.807
 13558          ?        1:0      +  *0.999  0.001
 13559          ?        2:1      +   0.118 *0.882
 13560          ?        1:0      +  *1      0    
 13561          ?        1:0      +  *1      0    
 13562          ?        2:1      +   0.193 *0.807
 13563          ?        1:0      +  *0.923  0.077
 13564          ?        1:0      +  *0.999  0.001
 13565          ?        2:1      +   0.193 *0.807
 13566          ?        1:0      +  *0.999  0.001
 13567          ?        1:0      +  *0.955  0.045
 13568          ?        1:0      +  *0.999  0.001
 13569          ?        2:1      +   0.118 *0.882
 13570          ?        1:0      +  *0.999  0.001
 13571          ?        2:1      +   0.193 *0.807
 13572          ?        1:0      +  *0.999  0.001
 13573          ?        2:1      +   0.118 *0.882
 13574          ?        2:1      +   0.193 *0.807
 13575          ?        2:1      +   0.193 *0.807
 13576          ?        1:0      +  *0.999  0.001
 13577          ?        2:1      +   0.118 *0.882
 13578          ?        1:0      +  *0.999  0.001
 13579          ?        2:1      +   0.193 *0.807
 13580          ?        2:1      +   0.193 *0.807
 13581          ?        1:0      +  *0.999  0.001
 13582          ?        1:0      +  *0.999  0.001
 13583          ?        2:1      +   0.118 *0.882
 13584          ?        2:1      +   0.193 *0.807
 13585          ?        1:0      +  *1      0    
 13586          ?        1:0      +  *0.999  0.001
 13587          ?        1:0      +  *0.999  0.001
 13588          ?        1:0      +  *0.999  0.001
 13589          ?        2:1      +   0.118 *0.882
 13590          ?        2:1      +   0.193 *0.807
 13591          ?        1:0      +  *1      0    
 13592          ?        1:0      +  *0.999  0.001
 13593          ?        2:1      +   0.193 *0.807
 13594          ?        1:0      +  *0.999  0.001
 13595          ?        1:0      +  *1      0    
 13596          ?        2:1      +   0.118 *0.882
 13597          ?        1:0      +  *1      0    
 13598          ?        2:1      +   0.118 *0.882
 13599          ?        2:1      +   0.193 *0.807
 13600          ?        2:1      +   0.118 *0.882
 13601          ?        1:0      +  *1      0    
 13602          ?        1:0      +  *0.999  0.001
 13603          ?        2:1      +   0.193 *0.807
 13604          ?        2:1      +   0.193 *0.807
 13605          ?        1:0      +  *0.923  0.077
